# Raman activity for   3 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1, 0.00000000E+00,    0,    1
    1,    2, 0.00000000E+00,    0,    1
    1,    3, 0.00000000E+00,    0,    1
    1,    4, 0.11961650E+02,    0,    1
    1,    5, 0.11961650E+02,    0,    1
    1,    6, 0.20968418E+02,    0,    1
  300,    1, 0.00000000E+00,    0,    1
  300,    2, 0.00000000E+00,    0,    1
  300,    3, 0.00000000E+00,    0,    1
  300,    4, 0.11961650E+02,    0,    1
  300,    5, 0.11961650E+02,    0,    1
  300,    6, 0.20968418E+02,    0,    1
  301,    1, 0.00000000E+00,    0,    1
  301,    2, 0.00000000E+00,    0,    1
  301,    3, 0.00000000E+00,    0,    1
  301,    4, 0.11961650E+02,    0,    1
  301,    5, 0.11961650E+02,    0,    1
  301,    6, 0.20968418E+02,    0,    1
