# Raman activity for   3 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1, 0.00000000E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.40360351E+01,    1,    0
    1,    5, 0.40360351E+01,    1,    0
    1,    6, 0.96847842E+01,    0,    0
    1,    7, 0.15725521E+02,    1,    1
    1,    8, 0.16518313E+02,    1,    1
    1,    9, 0.16846959E+02,    1,    0
    1,   10, 0.16846959E+02,    1,    0
    1,   11, 0.20222155E+02,    0,    0
    1,   12, 0.21581841E+02,    1,    1
  300,    1, 0.00000000E+00,    1,    1
  300,    2, 0.00000000E+00,    1,    1
  300,    3, 0.00000000E+00,    1,    1
  300,    4, 0.40360351E+01,    1,    0
  300,    5, 0.40360351E+01,    1,    0
  300,    6, 0.96847842E+01,    0,    0
  300,    7, 0.15725521E+02,    1,    1
  300,    8, 0.16518313E+02,    1,    1
  300,    9, 0.16846959E+02,    1,    0
  300,   10, 0.16846959E+02,    1,    0
  300,   11, 0.20222155E+02,    0,    0
  300,   12, 0.21581841E+02,    1,    1
  301,    1, 0.00000000E+00,    1,    1
  301,    2, 0.00000000E+00,    1,    1
  301,    3, 0.00000000E+00,    1,    1
  301,    4, 0.40360351E+01,    1,    0
  301,    5, 0.40360351E+01,    1,    0
  301,    6, 0.96847842E+01,    0,    0
  301,    7, 0.16518313E+02,    1,    1
  301,    8, 0.16518313E+02,    1,    1
  301,    9, 0.16846959E+02,    1,    0
  301,   10, 0.16846959E+02,    1,    0
  301,   11, 0.20222155E+02,    0,    0
  301,   12, 0.21340506E+02,    1,    1
